@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric
@attribute time numeric

@data
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,221.78,10
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,223.76,11
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,225.74,12
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,227.72,13
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,229.7,14
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,231.68,15
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,233.66,16
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,235.64,17
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,237.62,18
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,239.6,19
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,241.58,20
1320,1320,0,0,1653,0,235,0,0,57,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,243.56,21
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,224.33,1
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,269.76,2
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,286.36,3
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,302.96,4
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,319.56,5
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,336.09,6
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,340.52,7
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,344.81,8
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,349.1,9
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,353.39,10
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,357.68,11
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,361.97,12
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,366.26,13
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,370.55,14
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,374.84,15
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,379.13,16
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,383.42,17
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,387.71,18
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,392,19
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,396.29,20
1827,1815,0,12,20852,0,0,0,0,0,0,0,0,0,-146.227,227.459,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,400.58,21
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,272.73,1
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,286.11,2
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,299.49,3
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,312.87,4
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,326.25,5
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,339.63,6
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,351.11,7
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,362.09,8
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,372.85,9
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,383.41,10
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,393.84,11
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,404.13,12
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,414.33,13
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,424.45,14
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,434.51,15
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,444.51,16
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,454.45,17
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,464.34,18
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,474.2,19
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,484.06,20
462,462,0,0,5852,0,5852,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,493.92,21
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,0.79,1
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,0.86,2
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,0.93,3
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1,4
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.07,5
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.14,6
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.21,7
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.28,8
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.35,9
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.42,10
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.49,11
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.56,12
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.63,13
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.69,14
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.74,15
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.79,16
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.84,17
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.88,18
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.92,19
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.96,20
1205,1200,0,5,424,0,403,0,0,0,0,0,0,5,-1395.29,2574.3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,2,21
51471,51471,0,0,47280,320,0,0,32,0,0,269,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,400,1
51471,51471,0,0,47280,320,0,0,32,0,0,269,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,700,2
51471,51471,0,0,47280,320,0,0,32,0,0,269,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,892.54,3
51471,51471,0,0,47280,320,0,0,32,0,0,269,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1084.48,4
51471,51471,0,0,47280,320,0,0,32,0,0,269,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1275.86,5
51471,51471,0,0,47280,320,0,0,32,0,0,269,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1465.86,6
