@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric

@data
556,300,15,241,291,0,14,0,0,0,0,0,15,15,-53.78,142.82,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,63.65
62,50,0,12,6,0,0,0,0,0,0,0,0,0,1,99,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,3629.31
712,240,0,472,492,0,0,0,0,0,0,0,0,38,-1053,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,241.81
2728,1364,0,1364,1442,39,0,0,0,0,0,0,0,0,-100,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,564.72
1080,360,0,720,750,0,0,0,0,0,0,0,0,12,-1498,50,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,721.64
14115,1603,0,12512,14021,0,391,0,0,0,0,506,0,0,-12,3,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1520.19
25755,2856,0,22899,48939,0,0,0,0,0,0,0,0,2907,-1000,120,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,405.77
86,55,0,31,45,0,0,0,0,0,0,0,0,0,-1,55,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,408
675,113,181,381,294,0,0,0,0,0,0,0,0,251,-60,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1512.41
840,48,0,792,1192,0,0,0,0,0,0,0,0,0,-22.23,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1866.74
74,60,0,14,7,0,0,0,0,0,0,0,0,0,1,99,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,4054.44
7328,6110,0,1218,1203,0,0,0,0,0,0,0,0,0,-90,100000000,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,405.35
4446,3906,0,540,3131,390,0,5,0,0,0,189,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,2354.32
10958,96,0,10862,4480,0,0,0,0,0,0,0,0,3419,-42336,4.19992,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,238.18
1629,1458,0,171,2932,349,135,0,0,0,576,36,0,0,-1,290,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1707.47
1350,24,0,1326,101,0,0,0,0,0,0,0,0,77,-5000,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,0.22
240,64,0,176,136,0,0,0,0,0,0,0,0,9,-500,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,201.99
100,0,90,10,182,0,0,0,0,0,0,0,0,0,-1,10,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,6300
512,256,0,256,288,0,0,0,0,0,0,0,0,0,-54,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,33.76
505,35,0,470,576,0,0,0,5,0,0,0,0,56,-81,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,297.1
164547,146,0,164401,328818,17,0,0,0,0,1,0,0,0,-1,10986600,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,761.56
422,98,0,324,291,0,0,0,0,0,0,0,0,61,-17360,1.50376,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,6.31
1161,129,0,1032,1494,3,6,0,0,3,3,18,0,372,-250,196,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,439.92
9557,55,0,9502,6803,0,0,0,0,0,0,0,0,4928,-99999,39166,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,259.22
2025,1800,0,225,230,80,40,0,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,200.76
8784,100,0,8684,8685,0,0,0,1,0,0,0,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,459.52
2500,1250,0,1250,1750,0,0,0,0,0,0,0,0,418,-82,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,506.33
378,168,0,210,234,0,0,0,0,0,0,0,0,24,-1,600,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,119.37
1758,1457,0,301,351,50,0,0,0,0,0,0,0,251,-180,5,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,658.49
7359,100,0,7259,7260,0,0,0,1,0,0,0,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,244.75
1224,240,168,816,1392,0,48,0,0,0,0,0,0,48,-124.8,114.684,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,2.37
18,0,11,7,18,0,0,0,0,0,0,0,4,1,-100,150,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,27.1
1224,384,336,504,1248,0,48,0,0,0,0,0,0,48,-124.8,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,2.11
622,457,0,165,125899,44,0,0,0,0,0,0,0,49,-10000000,4568.06,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,4400
240,64,0,176,246,0,0,0,0,0,0,0,0,9,-500,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,155.56
2600,100,0,2500,225,0,0,0,0,0,0,0,0,0,-1529,99,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,15.67
870,144,6,720,780,0,0,0,0,0,0,0,0,144,-250,670,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,3.37
2298,170,0,2128,1026,0,0,0,0,0,10,0,0,906,-1,28.81,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,2.18
1886,160,32,1694,1182,40,0,0,0,0,0,0,0,352,-20867.5,36000,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,0.02
1166,246,492,428,2295,0,404,119,0,0,0,0,0,174,-112,322,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,267.31
1808,112,0,1696,820,0,0,0,0,0,0,0,0,249,-264.284,2.25394,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,1551.27
104,30,28,46,91,0,0,0,0,0,0,0,0,0,-1344,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,13.04
353,231,33,89,274,0,0,0,0,79,0,0,0,89,-5437,7243,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,139.56
938,0,90,848,158,0,0,0,0,0,0,0,0,99,-622,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,46.33
1152,216,168,768,1368,0,48,0,0,0,0,0,0,48,-124.8,119.65,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,0.43
3648,192,0,3456,3312,0,0,0,0,0,0,0,0,1185,-480,100,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,755.26
13873,552,0,13321,3202,0,0,0,48,0,0,0,0,826,-1000,1000,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,501.25
556,300,15,241,291,0,14,0,0,0,0,0,15,15,-53.78,142.82,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,39.15
62,50,0,12,6,0,0,0,0,0,0,0,0,0,1,99,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,3553.13
712,240,0,472,492,0,0,0,0,0,0,0,0,38,-1053,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,60.65
2728,1364,0,1364,1442,39,0,0,0,0,0,0,0,0,-100,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,264.56
1080,360,0,720,750,0,0,0,0,0,0,0,0,12,-1498,50,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,583.73
14115,1603,0,12512,14021,0,391,0,0,0,0,506,0,0,-12,3,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,1571.54
25755,2856,0,22899,48939,0,0,0,0,0,0,0,0,2907,-1000,120,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,408.26
86,55,0,31,45,0,0,0,0,0,0,0,0,0,-1,55,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,349.05
675,113,181,381,294,0,0,0,0,0,0,0,0,251,-60,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,1570.71
840,48,0,792,1192,0,0,0,0,0,0,0,0,0,-22.23,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,354.14
74,60,0,14,7,0,0,0,0,0,0,0,0,0,1,99,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,4002.65
7328,6110,0,1218,1203,0,0,0,0,0,0,0,0,0,-90,100000000,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,409.26
4446,3906,0,540,3131,390,0,5,0,0,0,189,0,0,-1,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,1743.41
10958,96,0,10862,4480,0,0,0,0,0,0,0,0,3419,-42336,4.19992,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,278.58
1629,1458,0,171,2932,349,135,0,0,0,576,36,0,0,-1,290,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,1097.82
1350,24,0,1326,101,0,0,0,0,0,0,0,0,77,-5000,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,0.22
240,64,0,176,136,0,0,0,0,0,0,0,0,9,-500,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,144.83
100,0,90,10,182,0,0,0,0,0,0,0,0,0,-1,10,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,6300
512,256,0,256,288,0,0,0,0,0,0,0,0,0,-54,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,30.34
505,35,0,470,576,0,0,0,5,0,0,0,0,56,-81,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,57.51
164547,146,0,164401,328818,17,0,0,0,0,1,0,0,0,-1,10986600,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,733.73
